,N,Missing(n),Missing(%),Mean,SD,Min,Q1,Median,Q3,Max,IQR
admission_age,2316.0,0,0.0,67.38039723661485,12.024055622868424,21.0,59.0,68.0,76.0,90.0,17.0
weight,2257.0,59,2.55,82.9363757199823,19.284337565339133,1.0,70.0,81.0,94.0,228.9,24.0
height,1672.0,644,27.81,170.6937799043062,9.999198510998784,122.0,165.0,173.0,178.0,198.0,13.0
heart_rate_max,2314.0,2,0.09,92.54900605012965,15.751539054414872,50.0,82.0,91.0,101.0,200.0,19.0
sys_bp_min,2314.0,2,0.09,93.65615096513972,14.922734496557673,23.0,85.0,93.0,102.0,156.0,17.0
mean_bp_min,2314.0,2,0.09,64.11495246326707,11.914300643404985,2.0,57.0,64.0,71.0,107.0,14.0
dias_bp_min,2314.0,2,0.09,50.545015845577645,11.32342239273893,11.0,44.0,50.0,57.0,92.0,13.0
resp_rate_max,2310.0,6,0.26,25.132467532467533,5.567704660084351,14.0,21.0,24.0,28.0,67.0,7.0
temperature_max,2203.0,113,4.88,36.97853381752156,0.5086029038646178,32.0,36.67,36.89,37.17,39.56,0.5
glucose_vitalsign_max,2210.0,106,4.58,183.87375565610859,77.55361841469059,73.0,134.0,168.0,211.0,1041.0,77.0
creatinine_min,2191.0,125,5.4,1.0015974440894568,0.5238182651082771,0.3,0.7,0.9,1.1,13.6,0.40000000000000013
bun_max,2188.0,128,5.53,20.444241316270567,12.57479129285236,5.0,13.0,17.0,23.0,133.0,10.0
bicarbonate_min,2177.0,139,6.0,22.594855305466236,3.322208468502517,6.0,21.0,23.0,24.0,40.0,3.0
potassium_chemistry_max,2116.0,200,8.64,4.359593572778828,0.5796286617880716,2.9,4.0,4.3,4.6,9.3,0.5999999999999996
aniongap_max,2137.0,179,7.73,13.807206364061768,3.7780516983975483,4.0,11.0,14.0,16.0,37.0,5.0
albumin_median,494.0,1822,78.67,3.6354251012145746,0.47796275905566804,2.05,3.4,3.7,4.0,5.0,0.6000000000000001
glucose_chemistry_max,1680.0,636,27.46,165.77916666666667,84.85043096415285,45.0,114.0,139.5,187.0,1041.0,73.0
urineoutput_12h_sum,2279.0,37,1.6,1157.356296621325,697.0344836639408,0.0,665.0,985.0,1490.0,5600.0,825.0
hemoglobin_min,2136.0,180,7.77,11.000983146067417,2.3166061681601215,3.4,9.2,11.0,12.7,18.0,3.5
hematocrit_min,2169.0,147,6.35,32.86749654218534,6.623488426953369,10.8,27.7,32.7,38.0,52.9,10.3
wbc_max,2135.0,181,7.82,13.85255269320843,7.748186098087772,2.0,9.6,12.5,17.0,248.6,7.4
platelet_median,2209.0,107,4.62,204.36170212765958,77.96517274547593,42.5,151.0,193.0,242.0,984.0,91.0
