Feature,Missing (n),Missing (%),Available (n),Available (%)
ntprobnp_max,2247,97.02,69,2.980000000000004
bands_max,2244,96.89,72,3.1099999999999994
amylase_median,2215,95.64,101,4.359999999999999
ld_ldh_max,1828,78.93,488,21.069999999999993
albumin_median,1822,78.67,494,21.33
alp_median,1512,65.28,804,34.72
ast_max,1507,65.07,809,34.93000000000001
bilirubin_total_max,1504,64.94,812,35.06
alt_max,1504,64.94,812,35.06
fibrinogen_median,1487,64.21,829,35.790000000000006
plateau_pressure_max,1406,60.71,910,39.29
ck_cpk_max,1399,60.41,917,39.59
tidal_volume_observed_max,1265,54.62,1051,45.38
peep_max,1258,54.32,1058,45.68
fio2_max,1199,51.77,1117,48.23
nlr_max,1180,50.95,1136,49.05
ck_mb_max,1080,46.63,1236,53.37
troponin_t_max,1047,45.21,1269,54.79
height,644,27.81,1672,72.19
glucose_chemistry_max,636,27.46,1680,72.53999999999999
pt_median,325,14.03,1991,85.97
inr_median,325,14.03,1991,85.97
ptt_median,281,12.13,2035,87.87
potassium_chemistry_max,200,8.64,2116,91.36
rdw_median,181,7.82,2135,92.18
wbc_max,181,7.82,2135,92.18
hemoglobin_min,180,7.77,2136,92.23
aniongap_max,179,7.73,2137,92.27
hematocrit_min,147,6.35,2169,93.65
bicarbonate_min,139,6.0,2177,94.0
bun_max,128,5.53,2188,94.47
creatinine_min,125,5.4,2191,94.6
temperature_max,113,4.88,2203,95.12
platelet_median,107,4.62,2209,95.38
glucose_vitalsign_max,106,4.58,2210,95.42
weight,59,2.55,2257,97.45
urineoutput_12h_sum,37,1.6,2279,98.4
gcs_unable_max,14,0.6,2302,99.4
resp_rate_max,6,0.26,2310,99.74
heart_rate_max,2,0.09,2314,99.91
dias_bp_min,2,0.09,2314,99.91
sys_bp_min,2,0.09,2314,99.91
mean_bp_min,2,0.09,2314,99.91
cnt_systemic_antibiotics,0,0.0,2316,100.0
has_mcs_device,0,0.0,2316,100.0
use_vancomycin_iv,0,0.0,2316,100.0
use_aspirin,0,0.0,2316,100.0
blood_culture_flag,0,0.0,2316,100.0
infection_suspected_flag,0,0.0,2316,100.0
norepinephrine_equivalent_dose_max,0,0.0,2316,100.0
vaso_flag,0,0.0,2316,100.0
has_pa_catheter,0,0.0,2316,100.0
is_femoral_access,0,0.0,2316,100.0
has_acei,0,0.0,2316,100.0
aki_label,0,0.0,2316,100.0
non_invasive_vent_flag,0,0.0,2316,100.0
invasive_vent_flag,0,0.0,2316,100.0
is_high_grade_block,0,0.0,2316,100.0
is_paced,0,0.0,2316,100.0
is_afib,0,0.0,2316,100.0
gender,0,0.0,2316,100.0
first_hosp_stay,0,0.0,2316,100.0
first_careunit,0,0.0,2316,100.0
race,0,0.0,2316,100.0
admission_age,0,0.0,2316,100.0
cnt_invasive_lines,0,0.0,2316,100.0
