Characteristic,Overall (N=7908),Non-AKI (N=3693),AKI (N=4215),p-value
"admission_age, median [IQR]",66.0 [56.0 – 77.0],63.0 [54.0 – 73.0],70.0 [60.0 – 79.0],<0.001
"weight, median [IQR]",82.7 [70.3 – 97.9],81.9 [69.7 – 96.5],83.8 [70.5 – 99.3],0.001
"height, median [IQR]",170.2 [162.6 – 177.8],172.7 [163.0 – 178.0],170.2 [162.6 – 177.8],<0.001
"first_hosp_stay, n (%)",7727 (97.7%),3635 (98.4%),4092 (97.1%),<0.001
"is_afib, n (%)",658 (8.3%),175 (4.7%),483 (11.5%),<0.001
"is_paced, n (%)",18 (0.2%),5 (0.1%),13 (0.3%),0.169
"is_high_grade_block, n (%)",100 (1.3%),34 (0.9%),66 (1.6%),0.014
"invasive_vent_flag, n (%)",1545 (19.5%),373 (10.1%),1172 (27.8%),<0.001
"non_invasive_vent_flag, n (%)",0 (0.0%),0 (0.0%),0 (0.0%),1.000
"vaso_flag, n (%)",439 (5.6%),105 (2.8%),334 (7.9%),<0.001
"gcs_unable_max, n (%)",0 (0.0%),0 (0.0%),0 (0.0%),1.000
"infection_suspected_flag, n (%)",805 (10.2%),201 (5.4%),604 (14.3%),<0.001
"blood_culture_flag, n (%)",179 (2.3%),66 (1.8%),113 (2.7%),0.010
"use_aspirin, n (%)",2671 (33.8%),1229 (33.3%),1442 (34.2%),0.395
"has_acei, n (%)",3957 (50.0%),1928 (52.2%),2029 (48.1%),<0.001
"use_vancomycin_iv, n (%)",282 (3.6%),77 (2.1%),205 (4.9%),<0.001
"has_mcs_device, n (%)",392 (5.0%),121 (3.3%),271 (6.4%),<0.001
"has_pa_catheter, n (%)",71 (0.9%),29 (0.8%),42 (1.0%),0.382
"is_femoral_access, n (%)",0 (0.0%),0 (0.0%),0 (0.0%),1.000
━━ gender ━━,,,,<0.001
  M,5003 (63.3%),2429 (65.8%),2574 (61.1%),
  F,2905 (36.7%),1264 (34.2%),1641 (38.9%),
━━ race ━━,,,,<0.001
  WHITE,6244 (79.0%),2882 (78.0%),3362 (79.8%),
  BLACK,668 (8.4%),271 (7.3%),397 (9.4%),
  Other/Unknown,463 (5.9%),255 (6.9%),208 (4.9%),
  HISPANIC,275 (3.5%),132 (3.6%),143 (3.4%),
  ASIAN,128 (1.6%),67 (1.8%),61 (1.4%),
  UNKNOWN,104 (1.3%),72 (1.9%),32 (0.8%),
  OTHER,26 (0.3%),14 (0.4%),12 (0.3%),
━━ first_careunit ━━,,,,<0.001
  Med-Surg ICU,3502 (44.3%),1691 (45.8%),1811 (43.0%),
  CCU-CTICU,1669 (21.1%),756 (20.5%),913 (21.7%),
  Cardiac ICU,1318 (16.7%),612 (16.6%),706 (16.7%),
  CSICU,472 (6.0%),190 (5.1%),282 (6.7%),
  MICU,371 (4.7%),196 (5.3%),175 (4.2%),
  CTICU,276 (3.5%),127 (3.4%),149 (3.5%),
  SICU,187 (2.4%),82 (2.2%),105 (2.5%),
  Neuro ICU,113 (1.4%),39 (1.1%),74 (1.8%),
