,N,Missing(n),Missing(%),Mean,SD,Min,Q1,Median,Q3,Max,IQR
admission_age,7908.0,0,0.0,66.33181588265047,13.423340774260128,22.0,56.0,66.0,77.0,90.0,21.0
weight,7730.0,178,2.25,85.54483570504529,23.387456614690766,28.0,70.3,82.7,97.9,362.9,27.60000000000001
height,7808.0,100,1.26,170.29002561475411,14.122714092415169,0.94,162.6,170.2,177.8,510.0,15.200000000000017
heart_rate_max,7160.0,748,9.46,93.16243016759776,20.700317775038677,40.0,79.0,90.0,104.0,293.0,25.0
sys_bp_min,7070.0,838,10.6,99.8082036775106,20.50912981434138,6.0,86.0,99.0,112.0,199.0,26.0
mean_bp_min,7146.0,762,9.64,68.41918555835433,15.861745574198167,1.0,58.0,68.0,78.0,152.0,20.0
dias_bp_min,7071.0,837,10.58,54.05883184839485,13.884487726499282,1.0,45.0,53.0,63.0,120.0,18.0
resp_rate_max,7069.0,839,10.61,25.89503465836752,7.926624057369785,6.0,21.0,24.0,29.0,69.0,8.0
temperature_max,7546.0,362,4.58,36.981872912801485,0.628973300498521,32.1,36.7,36.9,37.2,41.2,0.5
glucose_vitalsign_max,1651.0,6257,79.12,197.77225923682616,104.64499979214881,20.0,129.0,169.0,234.5,1644.0,105.5
creatinine_min,5294.0,2614,33.06,1.2890693237627504,0.9808413835470395,0.2,0.79,1.0,1.4,15.61,0.6099999999999999
bun_max,5369.0,2539,32.11,24.375693797727696,18.325322168270397,2.0,13.0,19.0,28.0,196.0,15.0
bicarbonate_min,5121.0,2787,35.24,23.22034758836165,4.3650059909505785,5.0,21.0,23.0,26.0,44.0,5.0
potassium_chemistry_max,5639.0,2269,28.69,4.2276449725128575,0.6457753568383029,2.0,3.8,4.1,4.5,8.2,0.7000000000000002
aniongap_max,4251.0,3657,46.24,11.15074100211715,4.582444894976106,1.0,8.0,10.9,13.7,42.1,5.699999999999999
albumin_median,2577.0,5331,67.41,3.1916375630578186,0.6085577241984836,0.9,2.8,3.3,3.6,4.9,0.8000000000000003
glucose_chemistry_max,6433.0,1475,18.65,179.56334525104927,100.6691962339999,3.0,116.0,148.0,209.0,1644.0,93.0
urineoutput_12h_sum,5729.0,2179,27.55,1011.1515971373713,779.5204236482479,0.0,475.0,825.0,1350.0,7860.0,875.0
hemoglobin_min,5287.0,2621,33.14,12.131416682428599,2.3053816724165954,2.8,10.6,12.4,13.8,19.4,3.200000000000001
hematocrit_min,5285.0,2623,33.17,36.31928098391674,6.485102377879471,8.9,32.0,37.0,41.0,62.0,9.0
wbc_max,5114.0,2794,35.33,12.732027766914353,6.404808143281931,0.1,8.8,11.425,15.0,99.1,6.199999999999999
platelet_median,5172.0,2736,34.6,213.7464230471771,81.64507713244288,5.0,163.0,205.0,252.0,811.0,89.0
rdw_median,4761.0,3147,39.8,14.409126233984459,1.8340271712665455,11.25,13.25,13.9,15.0,30.7,1.75
nlr_max,0.0,7908,100.0,,,,,,,,
bands_max,197.0,7711,97.51,11.116649746192893,12.453904516179858,0.0,3.0,7.0,14.0,86.3,11.0
troponin_t_max,794.0,7114,89.96,3.2242581863979844,4.527295302852801,0.01,0.40075000000000005,1.31,4.11,28.08,3.7092500000000004
ck_mb_max,2344.0,5564,70.36,107.28161689419795,152.88030292555231,0.3,12.0,47.4,147.3,2588.3,135.3
ntprobnp_max,522.0,7386,93.4,3541.558237547893,10608.361294742368,7.0,205.925,631.95,1817.25,104247.0,1611.325
inr_median,2207.0,5701,72.09,1.4292251925690984,0.8404976629545963,0.8,1.1,1.2,1.4,10.5,0.2999999999999998
pt_median,2167.0,5741,72.6,16.20973696354407,7.878045646523734,9.3,12.5,14.2,16.7,106.4,4.199999999999999
ptt_median,2436.0,5472,69.2,52.801149425287356,32.29141971452022,18.7,32.0,41.3,62.6,267.0,30.6
fibrinogen_median,213.0,7695,97.31,343.74225352112677,175.00321640869421,75.0,215.0,297.0,423.0,1039.0,208.0
ck_cpk_max,2471.0,5437,68.75,1695.212869283691,7699.065918790058,12.0,214.0,601.0,1622.0,330500.0,1408.0
ld_ldh_max,76.0,7832,99.04,876.0394736842105,2073.6445432509367,125.0,225.0,302.5,694.0,16287.0,469.0
alt_max,2442.0,5466,69.12,148.3099918099918,598.1425298406548,5.0,23.0,36.0,69.0,12326.0,46.0
ast_max,2443.0,5465,69.11,291.12034383954153,1129.7794097017163,5.0,35.0,77.0,194.0,18979.0,159.0
bilirubin_total_max,2384.0,5524,69.85,0.795989932885906,0.8176158660842378,0.1,0.4,0.6,0.9,13.3,0.5
alp_median,2418.0,5490,69.42,86.96133167907361,61.28789349725258,16.0,58.0,74.0,96.0,876.0,38.0
amylase_median,101.0,7807,98.72,137.56336633663366,290.8571775709764,12.0,33.0,51.0,104.0,2035.0,71.0
gcs_min,5362.0,2546,32.2,13.536367027228646,3.183483315386102,3.0,14.0,15.0,15.0,15.0,1.0
gcs_motor_min,4491.0,3417,43.21,5.631485192607437,1.132345653996957,1.0,6.0,6.0,6.0,6.0,0.0
peep_max,0.0,7908,100.0,,,,,,,,
fio2_max,1364.0,6544,82.75,70.97287390029325,27.360209583940026,21.0,50.0,70.0,100.0,100.0,50.0
plateau_pressure_max,0.0,7908,100.0,,,,,,,,
tidal_volume_observed_max,0.0,7908,100.0,,,,,,,,
norepinephrine_equivalent_dose_max,7908.0,0,0.0,0.06446193727870511,2.026831822530152,0.0,0.0,0.0,0.0,101.393,0.0
cnt_systemic_antibiotics,7908.0,0,0.0,0.15895295902883155,0.5050893295957585,0.0,0.0,0.0,0.0,6.0,0.0
cnt_invasive_lines,7908.0,0,0.0,4.490642387455741,5.697912610016053,0.0,1.0,3.0,6.0,73.0,5.0
