Feature,Missing (n),Missing (%),Available (n),Available (%)
plateau_pressure_max,7908,100.0,0,0.0
peep_max,7908,100.0,0,0.0
nlr_max,7908,100.0,0,0.0
tidal_volume_observed_max,7908,100.0,0,0.0
ld_ldh_max,7832,99.04,76,0.9599999999999937
amylase_median,7807,98.72,101,1.2800000000000011
bands_max,7711,97.51,197,2.489999999999995
fibrinogen_median,7695,97.31,213,2.6899999999999977
ntprobnp_max,7386,93.4,522,6.599999999999994
troponin_t_max,7114,89.96,794,10.040000000000006
fio2_max,6544,82.75,1364,17.25
glucose_vitalsign_max,6257,79.12,1651,20.879999999999995
pt_median,5741,72.6,2167,27.400000000000006
inr_median,5701,72.09,2207,27.909999999999997
ck_mb_max,5564,70.36,2344,29.64
bilirubin_total_max,5524,69.85,2384,30.150000000000006
alp_median,5490,69.42,2418,30.58
ptt_median,5472,69.2,2436,30.799999999999997
alt_max,5466,69.12,2442,30.879999999999995
ast_max,5465,69.11,2443,30.89
ck_cpk_max,5437,68.75,2471,31.25
albumin_median,5331,67.41,2577,32.59
aniongap_max,3657,46.24,4251,53.76
gcs_motor_min,3417,43.21,4491,56.79
rdw_median,3147,39.8,4761,60.2
wbc_max,2794,35.33,5114,64.67
bicarbonate_min,2787,35.24,5121,64.75999999999999
platelet_median,2736,34.6,5172,65.4
hematocrit_min,2623,33.17,5285,66.83
hemoglobin_min,2621,33.14,5287,66.86
creatinine_min,2614,33.06,5294,66.94
gcs_min,2546,32.2,5362,67.8
bun_max,2539,32.11,5369,67.89
potassium_chemistry_max,2269,28.69,5639,71.31
urineoutput_12h_sum,2179,27.55,5729,72.45
glucose_chemistry_max,1475,18.65,6433,81.35
resp_rate_max,839,10.61,7069,89.39
sys_bp_min,838,10.6,7070,89.4
dias_bp_min,837,10.58,7071,89.42
mean_bp_min,762,9.64,7146,90.36
heart_rate_max,748,9.46,7160,90.53999999999999
temperature_max,362,4.58,7546,95.42
weight,178,2.25,7730,97.75
height,100,1.26,7808,98.74
has_mcs_device,0,0.0,7908,100.0
cnt_systemic_antibiotics,0,0.0,7908,100.0
has_acei,0,0.0,7908,100.0
use_aspirin,0,0.0,7908,100.0
blood_culture_flag,0,0.0,7908,100.0
infection_suspected_flag,0,0.0,7908,100.0
norepinephrine_equivalent_dose_max,0,0.0,7908,100.0
vaso_flag,0,0.0,7908,100.0
has_pa_catheter,0,0.0,7908,100.0
is_femoral_access,0,0.0,7908,100.0
use_vancomycin_iv,0,0.0,7908,100.0
aki_label,0,0.0,7908,100.0
non_invasive_vent_flag,0,0.0,7908,100.0
invasive_vent_flag,0,0.0,7908,100.0
is_high_grade_block,0,0.0,7908,100.0
is_paced,0,0.0,7908,100.0
is_afib,0,0.0,7908,100.0
gcs_unable_max,0,0.0,7908,100.0
gender,0,0.0,7908,100.0
first_hosp_stay,0,0.0,7908,100.0
first_careunit,0,0.0,7908,100.0
race,0,0.0,7908,100.0
admission_age,0,0.0,7908,100.0
cnt_invasive_lines,0,0.0,7908,100.0
